date,ret
2000-01-04,-0.02226308674828921
2000-01-05,0.006608724690572603
2000-01-06,0.0030201247331103943
2000-01-07,0.013800464805195926
2000-01-10,0.00896518241449998
2000-01-11,-0.006901449481365616
2000-01-12,0.0024856459816252137
2000-01-13,0.012876698415594743
2000-01-14,0.0039042168122109967
2000-01-18,0.003244793413138593
2000-01-19,0.003599348763337503
2000-01-20,-0.0013234298147848573
2000-01-21,0.00418228996919301
2000-01-24,-0.008175010916256643
2000-01-25,-0.0058076194763493315
2000-01-26,0.0042563197476976995
2000-01-27,-0.007078255725947426
2000-01-28,-0.012617625536113827
2000-01-31,-0.008859034566925529
2000-02-01,0.005963761795787925
2000-02-02,0.0105259642078487
2000-02-03,0.006430696659407471
2000-02-04,0.0010347674248198226
2000-02-07,-0.0019597318408199308
2000-02-08,0.0032508278501333318
2000-02-09,-0.005350585394795138
2000-02-10,-0.0018757633299444432
2000-02-11,-0.006619333150113768
2000-02-14,0.006786199877358474
2000-02-15,0.0038479417821562097
2000-02-16,-0.0009266254001351131
2000-02-17,0.0025899613969686077
2000-02-18,-0.013514642113081664
2000-02-22,0.0013976191004771786
2000-02-23,-0.003958985780567118
2000-02-24,-0.004081736756166525
2000-02-25,-0.004821719109158378
2000-02-28,0.004156647499727384
2000-02-29,0.015718797230828804
2000-03-01,0.009876008592615396
2000-03-02,-0.0030261396909957296
2000-03-03,0.014775058363871342
2000-03-06,-0.005887279037182321
2000-03-07,-0.011617113491892195
2000-03-08,-0.0011293759895507416
2000-03-09,0.009349171446267124
2000-03-10,-0.008285334728795042
2000-03-13,-0.008527435749778035
2000-03-14,-0.010149735715567543
2000-03-15,0.011825762089605278
2000-03-16,0.041063155730339175
2000-03-17,-0.0009182767602341419
2000-03-20,-0.007998959938170555
2000-03-21,0.0029779445585142966
2000-03-22,0.00957704735372962
2000-03-23,0.011301364557191024
2000-03-24,-0.002356277624952765
2000-03-27,-0.0030376836371277683
2000-03-28,-0.0014410236328837292
2000-03-29,-0.0015883896524350935
2000-03-30,-0.005126410207224282
2000-03-31,0.017497696519588945
2000-04-03,-0.010921797993016538
2000-04-04,-0.013108659640662735
2000-04-05,0.008655688356894361
2000-04-06,0.011425374637769853
2000-04-07,0.004354181257631842
2000-04-10,-0.009907173018931969
2000-04-11,-0.003587223915975839
2000-04-12,-0.004531232275651044
2000-04-13,-0.0052773851545672296
2000-04-14,-0.048680631577687344
2000-04-17,-0.0004977472270085863
2000-04-18,0.02699314902561535
2000-04-19,0.0013869602103655002
2000-04-20,0.0014917105791245682
2000-04-24,-0.0023235343177959336
2000-04-25,0.020430739296859325
2000-04-26,-0.0013677104398685245
2000-04-27,0.004389837003520256
2000-04-28,0.011678722611104357
2000-05-01,0.012797538845691923
2000-05-02,-0.012908667971311419
2000-05-03,-0.016474636809272053
2000-05-04,0.010289839132884192
2000-05-05,0.009398148501461511
2000-05-08,-0.009479268852052905
2000-05-09,-0.0027663521174066848
2000-05-10,-0.017773716687759497
2000-05-11,0.020011960809014226
2000-05-12,0.0007481889164511962
2000-05-15,0.010777697794411586
2000-05-16,0.003990189021334102
2000-05-17,-0.011241081007444371
2000-05-18,-0.006591100483633703
2000-05-19,-0.010862445016624991
2000-05-22,-0.006947912988670986
2000-05-23,-0.01323009250975915
2000-05-24,0.0020250343180038097
2000-05-25,-0.008170942051644247
2000-05-26,0.00034251131984015776
2000-05-30,0.01595115031844434
2000-05-31,-0.004112426361507297
2000-06-01,0.01470330342480013
2000-06-02,0.015206465138389656
2000-06-05,-0.0066990453492026
2000-06-06,-0.0002477700015537071
2000-06-07,0.003831909004582393
2000-06-08,0.0017747278053091913
2000-06-09,0.00690558307397315
2000-06-12,-0.0038161492519625103
2000-06-13,0.005301569417918794
2000-06-14,-0.0005942479825228688
2000-06-15,-0.0026634035315406734
2000-06-16,-0.0006310811337413935
2000-06-19,0.0029077631125532773
2000-06-20,-0.005861343789941631
2000-06-21,-0.001953394388140765
2000-06-22,-0.014123604120765536
2000-06-23,-0.0028435650976235374
2000-06-26,0.003109576021124408
2000-06-27,0.001775693459857077
2000-06-28,0.017255015683510684
2000-06-29,-0.0030171157942655777
2000-06-30,-0.01104682655010857
2000-07-03,0.01614950825430995
2000-07-05,-0.00749869116053487
2000-07-06,0.008077652053251689
2000-07-07,0.007845001940138836
2000-07-10,0.00641957632416881
2000-07-11,0.0005844663508745533
2000-07-12,0.008625974183186377
2000-07-13,0.0026446900050228826
2000-07-14,0.0071014573100083404
2000-07-17,0.0035180593723255138
2000-07-18,-0.0076390413596576605
2000-07-19,-0.007929449937660442
2000-07-20,0.003637182612971235
2000-07-21,-0.013044845807121916
2000-07-24,-0.008290359768445235
2000-07-25,0.0029639802333173587
2000-07-26,-0.002619130793960461
2000-07-27,-0.011221623936550906
2000-07-28,-0.014836339959682313
2000-07-31,0.013322951169501059
2000-08-01,-0.000311069701977834
2000-08-02,0.003963998302470127
2000-08-03,-0.0017008666309970936
2000-08-04,0.004784983338868294
2000-08-07,0.006540745732783017
2000-08-08,0.0001079878367138023
2000-08-09,-0.0022298738978131353
2000-08-10,-0.008208518413958879
2000-08-11,0.013519301116450154
2000-08-14,0.00507866980851667
2000-08-15,-0.0025733855826443803
2000-08-16,0.0012099762040353556
2000-08-17,0.0034657164643949667
2000-08-18,0.0033042676510310325
2000-08-21,0.0016185517600145315
2000-08-22,-0.000833952835003028
2000-08-23,-0.0014227707428354948
2000-08-24,0.0037240820253643275
2000-08-25,0.0026584810508956946
2000-08-28,-0.0005651229060874491
