,date,ret
151,2000-08-09,-0.0022298738978131
152,2000-08-10,-0.0082085184139588
153,2000-08-11,0.0135193011164501
154,2000-08-14,0.0050786698085166
155,2000-08-15,-0.0025733855826443
156,2000-08-16,0.0012099762040353
157,2000-08-17,0.0034657164643949
158,2000-08-18,0.003304267651031
159,2000-08-21,0.0016185517600145
160,2000-08-22,-0.000833952835003
161,2000-08-23,-0.0014227707428354
162,2000-08-24,0.0037240820253643
163,2000-08-25,0.0026584810508956
164,2000-08-28,-0.0005651229060874
165,2000-08-29,0.0001156777929428
166,2000-08-30,0.0013330246197286
167,2000-08-31,0.0102399630358166
168,2000-09-01,0.0061775600742805
169,2000-09-05,-0.0031770010856677
170,2000-09-06,-0.0004214539616584
171,2000-09-07,0.0064279133165052
172,2000-09-08,-0.0058317280111995
173,2000-09-11,0.0029075173864819
174,2000-09-12,-0.003621773271181
175,2000-09-13,0.0019604406026277
176,2000-09-14,0.0049034228032334
177,2000-09-15,-0.0066689605621777
178,2000-09-18,-0.0235269392322255
179,2000-09-19,0.0033219090413657
180,2000-09-20,-0.0077837167244439
181,2000-09-21,-0.0044304504033582
182,2000-09-22,0.0015876772330837
183,2000-09-25,-0.0082695602398723
184,2000-09-26,-0.006654663694854
185,2000-09-27,0.0039604906935794
186,2000-09-28,0.0163461310244278
187,2000-09-29,-0.0030838088869553
188,2000-10-02,-0.0137656545110645
189,2000-10-03,-0.0092504737913849
190,2000-10-04,0.0035665575642049
191,2000-10-05,-0.0065783814329763
192,2000-10-06,-0.0183181831014116
193,2000-10-09,0.0001037753531686
194,2000-10-10,-0.0127514509599935
195,2000-10-11,-0.0115689382307689
196,2000-10-12,-0.0191284587525092
197,2000-10-13,0.0203185854581452
198,2000-10-16,-0.0014014928776806
199,2000-10-17,-0.016171241048616
200,2000-10-18,-0.0036039782142096
201,2000-10-19,0.0263155616603296
202,2000-10-20,0.0053756558561258
203,2000-10-23,0.0026559693372779
204,2000-10-24,-0.0018304222851608
205,2000-10-25,-0.0152379657223179
206,2000-10-26,0.007685030946506
207,2000-10-27,0.005639507973253
208,2000-10-30,0.0081828933369034
209,2000-10-31,0.0251712406895805
210,2000-11-01,-0.0037996255538351
211,2000-11-02,0.0117022228388024
212,2000-11-03,-0.0003203041534955
213,2000-11-06,0.0018412635681137
214,2000-11-07,-0.0009908456066222
215,2000-11-08,-0.0040897493136652
216,2000-11-09,-0.0099998363120968
217,2000-11-10,-0.0179640413693347
218,2000-11-13,-0.002236718113008
219,2000-11-14,0.0143042998681919
220,2000-11-15,0.006922824148024
221,2000-11-16,-0.016038003631619
222,2000-11-17,0.0032642344427188
223,2000-11-20,-0.0162809911325164
224,2000-11-21,-0.0049558575905819
225,2000-11-22,-0.0155623744407728
226,2000-11-24,0.0162666194582736
227,2000-11-27,-0.0043911613878482
228,2000-11-28,-0.017008958322273
229,2000-11-29,-0.0067830109772102
230,2000-11-30,-0.0157725264085079
231,2000-12-01,0.0178093883064461
232,2000-12-04,-0.0051978429990715
233,2000-12-05,0.0256622367474479
234,2000-12-06,-0.0108566253172117
235,2000-12-07,-0.0047075332559592
236,2000-12-08,0.0255876167433538
237,2000-12-11,0.0113410611782
238,2000-12-12,-0.0108209446637495
239,2000-12-13,-0.0074264425417462
240,2000-12-14,-0.0163183506386989
241,2000-12-15,-0.0047119047536173
242,2000-12-18,0.0055206773527346
243,2000-12-19,-0.0022148834253291
244,2000-12-20,-0.0266593950772007
245,2000-12-21,0.0054400958224741
246,2000-12-22,0.0300228479601235
247,2000-12-26,-0.0006420324190069
248,2000-12-27,0.0243897476139465
249,2000-12-28,0.017481602041898
250,2000-12-29,-0.0048588084546794
251,2001-01-02,-0.0258099938352211
252,2001-01-03,0.0426528297190646
253,2001-01-04,-0.0013187785983174
254,2001-01-05,-0.0209457494797275
255,2001-01-08,-0.0072148080153143
256,2001-01-09,0.0001944027350074
257,2001-01-10,0.0168744989507628
258,2001-01-11,0.0167838051851261
259,2001-01-12,0.001398813106799
260,2001-01-16,0.0154083717087552
261,2001-01-17,0.0022076461386155
262,2001-01-18,0.0064777504547678
263,2001-01-19,-0.005700972956269
264,2001-01-22,0.0060880831356568
265,2001-01-23,0.0146987553174633
266,2001-01-24,0.0051536776724324
267,2001-01-25,-0.00291057077352
268,2001-01-26,0.0001186181767478
269,2001-01-29,0.0141305867091745
270,2001-01-30,0.0086545906925472
271,2001-01-31,-0.0019975262264056
272,2001-02-01,0.0026791447894505
273,2001-02-02,-0.0101874149389646
274,2001-02-05,-0.0028630438266139
275,2001-02-06,0.0040482898539832
276,2001-02-07,0.0012757047279125
277,2001-02-08,-0.0051857743421204
278,2001-02-09,-0.005837061721479
279,2001-02-12,0.011301219426299
280,2001-02-13,-0.0008590130352762
281,2001-02-14,0.0054271652039618
282,2001-02-15,0.0089942940525167
283,2001-02-16,-0.0138058658751093
284,2001-02-20,-0.0142438175486939
285,2001-02-21,-0.012701470190192
286,2001-02-22,-0.0084198285990454
287,2001-02-23,0.0025375082470344
288,2001-02-26,0.0166394007658081
289,2001-02-27,-0.0101022603310408
290,2001-02-28,-0.0068585206945017
